timestamp,message
1666232463247,"1666232463247951,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,18592,QUERY,,'SELECT REPLICA_LAG_IN_MSEC FROM mysql.ro_replica_status WHERE SERVER_ID = \'rdscluster-instance-1-ap-southeast-2c\'',0"
1666232463350,"1666232463350558,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18595,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232464010,"1666232464010209,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18597,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232464201,"1666232464201117,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18600,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232464226,"1666232464226377,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18602,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232465131,"1666232465131628,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18607,QUERY,,'SELECT 1',0"
1666232465349,"1666232465349971,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18610,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232466028,"1666232466028161,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18612,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232472342,"1666232472342552,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18658,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232472342,"1666232472342877,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18659,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232475350,"1666232475350365,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18681,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232476215,"1666232476215118,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18686,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232476318,"1666232476318098,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18691,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232478028,"1666232478028279,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18696,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232478207,"1666232478207914,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18699,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232478362,"1666232478362321,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18704,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232479334,"1666232479334027,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18707,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232480012,"1666232480012691,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18709,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232480210,"1666232480210296,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18714,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232480365,"1666232480365774,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18717,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232482209,"1666232482209063,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18725,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232483361,"1666232483361056,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18733,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232484308,"1666232484308850,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18743,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232492212,"1666232492212902,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18796,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232492363,"1666232492363622,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18801,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232494318,"1666232494318454,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18814,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232495322,"1666232495322814,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18819,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232502236,"1666232502236504,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18865,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232503345,"1666232503345054,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18871,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232504240,"1666232504240190,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18878,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232505148,"1666232505148851,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18887,QUERY,,'SELECT 1',0"
1666232542211,"1666232542211059,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19185,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232543353,"1666232543353056,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19193,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232544211,"1666232544211439,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19198,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
